ID,NUM_VOTAVEL,TOTAL_VOTOS,SHARE,ANO,NOME_CANDIDATO,SIGLA_PARTIDO,DESCRICAO_CARGO
633,17777,94,0.4%,2014,PR. GESSE SANTTOS,PSL,DEPUTADO ESTADUAL
634,55010,91,0.4%,2014,MILTON RANGEL,PSD,DEPUTADO ESTADUAL
635,12,88,0.4%,2014,NA,NA,NA
636,55321,85,0.4%,2014,ANDRÉ CORRÊA,PSD,DEPUTADO ESTADUAL
637,11,83,0.4%,2014,NA,NA,NA
638,77123,83,0.4%,2014,PEDRO FERNANDES,SD,DEPUTADO ESTADUAL
639,22692,76,0.3%,2014,RAFAEL SALES,PR,DEPUTADO ESTADUAL
640,50,72,0.3%,2014,NA,NA,NA
641,65123,68,0.3%,2014,EDMILSON VALENTIM,PC do B,DEPUTADO ESTADUAL
642,10696,67,0.3%,2014,CLAUDIO SILVA,PRB,DEPUTADO ESTADUAL
643,45620,66,0.3%,2014,LUCINHA,PSDB,DEPUTADO ESTADUAL
644,55040,56,0.2%,2014,DELEGADA MARTHA ROCHA,PSD,DEPUTADO ESTADUAL
645,15300,49,0.2%,2014,FABIO SILVA,PMDB,DEPUTADO ESTADUAL
646,25,48,0.2%,2014,NA,NA,NA
647,15015,48,0.2%,2014,EDIMAR TEIXEIRA,PMDB,DEPUTADO ESTADUAL
648,15555,46,0.2%,2014,ANDRÉ LAZARONI,PMDB,DEPUTADO ESTADUAL
649,70777,45,0.2%,2014,MC DOCA,PT do B,DEPUTADO ESTADUAL
650,55,43,0.2%,2014,NA,NA,NA
651,95,3753,15.9%,2014,NA,NA,NA
652,1530,3671,15.5%,2014,EDUARDO CUNHA,PMDB,DEPUTADO FEDERAL
653,96,2053,8.7%,2014,NA,NA,NA
654,7787,2038,8.6%,2014,GEISO DO CASTELO DAS PEDRAS,SD,DEPUTADO FEDERAL
655,1515,801,3.4%,2014,PEDRO PAULO,PMDB,DEPUTADO FEDERAL
656,1120,623,2.6%,2014,JAIR BOLSONARO,PP,DEPUTADO FEDERAL
657,4555,614,2.6%,2014,OTAVIO LEITE,PSDB,DEPUTADO FEDERAL
658,1010,599,2.5%,2014,ROBERTO SALES,PRB,DEPUTADO FEDERAL
659,1580,535,2.3%,2014,LEONARDO PICCIANI,PMDB,DEPUTADO FEDERAL
660,2222,440,1.9%,2014,CLARISSA GAROTINHO,PR,DEPUTADO FEDERAL
661,40,425,1.8%,2014,NA,NA,NA
662,6565,379,1.6%,2014,JANDIRA FEGHALI,PC do B,DEPUTADO FEDERAL
663,1234,378,1.6%,2014,BRIZOLA NETO,PDT,DEPUTADO FEDERAL
664,15,329,1.4%,2014,NA,NA,NA
665,5005,304,1.3%,2014,JEAN WYLLYS,PSOL,DEPUTADO FEDERAL
666,1577,264,1.1%,2014,MARCO ANTÔNIO CABRAL,PMDB,DEPUTADO FEDERAL
667,5050,246,1%,2014,CHICO ALENCAR,PSOL,DEPUTADO FEDERAL
668,13,209,0.9%,2014,NA,NA,NA
669,2211,205,0.9%,2014,MARCOS SOARES,PR,DEPUTADO FEDERAL
670,1500,193,0.8%,2014,WILSON SILVA BESERRA,PMDB,DEPUTADO FEDERAL
671,9090,173,0.7%,2014,HUGO LEAL,PROS,DEPUTADO FEDERAL
672,1313,162,0.7%,2014,ALESSANDRO MOLON,PT,DEPUTADO FEDERAL
673,2280,161,0.7%,2014,FRANCISCO FLORIANO,PR,DEPUTADO FEDERAL
674,5566,156,0.7%,2014,INDIO DA COSTA,PSD,DEPUTADO FEDERAL
675,5577,145,0.6%,2014,SÓSTENES CAVALCANTE,PSD,DEPUTADO FEDERAL
676,5020,132,0.6%,2014,CABO DACIOLO,PSOL,DEPUTADO FEDERAL
677,10,131,0.6%,2014,NA,NA,NA
678,5110,120,0.5%,2014,PASTOR OTONI DE PAULO,PEN,DEPUTADO FEDERAL
679,25,115,0.5%,2014,NA,NA,NA
680,5593,110,0.5%,2014,AROLDE DE OLIVEIRA,PSD,DEPUTADO FEDERAL
681,7070,110,0.5%,2014,ROMMEL CARDOZO,PT do B,DEPUTADO FEDERAL
682,2323,105,0.4%,2014,STEPAN NERCESSIAN,PPS,DEPUTADO FEDERAL
683,1111,103,0.4%,2014,JÚLIO LOPES,PP,DEPUTADO FEDERAL
684,1377,99,0.4%,2014,BENEDITA DA SILVA,PT,DEPUTADO FEDERAL
685,45,91,0.4%,2014,NA,NA,NA
686,1415,90,0.4%,2014,LAURA CARNEIRO,PTB,DEPUTADO FEDERAL
687,2587,89,0.4%,2014,RODRIGO MAIA,DEM,DEPUTADO FEDERAL
688,1331,82,0.3%,2014,BITTAR,PT,DEPUTADO FEDERAL
689,2202,81,0.3%,2014,VERONICA COSTA,PR,DEPUTADO FEDERAL
690,9000,80,0.3%,2014,MIRO TEIXEIRA,PROS,DEPUTADO FEDERAL
691,2230,76,0.3%,2014,CEL. RABELO,PR,DEPUTADO FEDERAL
692,5596,76,0.3%,2014,FRANCISCO BARBOSA,PSD,DEPUTADO FEDERAL
693,1303,73,0.3%,2014,FABIANO HORTA,PT,DEPUTADO FEDERAL
694,2223,69,0.3%,2014,AGUINALDO TIMOTHEO,PR,DEPUTADO FEDERAL
695,50,68,0.3%,2014,NA,NA,NA
696,1414,68,0.3%,2014,CRISTIANE BRASIL,PTB,DEPUTADO FEDERAL
697,55,56,0.2%,2014,NA,NA,NA
698,5055,56,0.2%,2014,RENATO CINCO,PSOL,DEPUTADO FEDERAL
699,1311,55,0.2%,2014,EDSON SANTOS,PT,DEPUTADO FEDERAL
700,22,51,0.2%,2014,NA,NA,NA
701,400,11051,46.7%,2014,ROMÁRIO,PSB,SENADOR
702,255,3930,16.6%,2014,CESAR MAIA,DEM,SENADOR
703,95,3465,14.7%,2014,NA,NA,NA
704,96,3155,13.3%,2014,NA,NA,NA
705,100,722,3.1%,2014,DIPLOMATA SEBASTIÃO NEVES,PRB,SENADOR
706,901,556,2.4%,2014,LILIAM SÁ,PROS,SENADOR
707,123,486,2.1%,2014,CARLOS LUPI,PDT,SENADOR
708,500,230,1%,2014,PEDRO ROSA,PSOL,SENADOR
709,211,40,0.2%,2014,EDUARDO SERRA,PCB,SENADOR
710,161,10,0%,2014,HEITOR FERNANDES,PSTU,SENADOR
711,15101,4219,16.7%,2016,CHIQUINHO BRAZÃO,PMDB,VEREADOR
712,95,3148,12.5%,2016,NA,NA,NA
713,77877,2415,9.6%,2016,GEISO DO CASTELO RIO DAS PEDRA,SD,VEREADOR
714,96,2117,8.4%,2016,NA,NA,NA
715,45006,1874,7.4%,2016,CLEUSA PRETA LOIRA,PSDB,VEREADOR
716,10,708,2.8%,2016,NA,NA,NA
717,10999,480,1.9%,2016,TÂNIA BASTOS ,PRB,VEREADOR
718,55664,430,1.7%,2016,OSVALDO MAIA,PSD,VEREADOR
719,15159,406,1.6%,2016,THIAGO K. RIBEIRO,PMDB,VEREADOR
720,20120,399,1.6%,2016,CARLOS BOLSONARO,PSC,VEREADOR
